VARIABLE NAME,LABEL,RELATED PUF CONSTRUCT,SUGGESTED CONSTRUCT,CHIS 2023,CHIS 2021-2022,CHIS 2022,CHIS 2021,CHIS 2019-2020,CHIS 2020,CHIS 2019,CHIS 2017-2018,CHIS 2018,CHIS 2017,CHIS 2015-2016,CHIS 2016,CHIS 2015,CHIS 2013-2014,CHIS 2014,CHIS 2013,CHIS 2011-2012,CHIS 2012,CHIS 2011,CHIS 2009,CHIS 2007,CHIS 2005,CHIS 2003,CHIS 2001,NOTES,
POVGWD2,FAMILY POVERTY THRESHOLD LEVEL: ACA MAGI ELIGIBILITY (CONTINUOUS),,,X,,X,X,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
POVLL,POVERTY LEVEL,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,SEE F_POVLL FOR IMPUTATION FLAG,
POVLL_ACA,FAMILY POVERTY THRESHOLD LEVEL: ACA (4 LVLS),,,X,,X,X,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
POVLL2,POVERTY LEVEL AS TIMES OF 100% FPL,POVLL2_P; POVLL2_P1; POVLL2_P1V2,,X,,X,X,,,,,,,,,,,,,,,,,,,,N/A,VALUES ROUNDED TO THE NEAREST 100th.;,
SRSEX_A,SELF-REPORTED GENDER OF ADULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRTENR,SELF-REPORTED HOUSEHOLD TENURE (HH),,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,
TEENCNT,# OF ELIGIBLE ADOLESCENTS 12-17 IN HOUSEHOLD,,KIDCNT,,,,,,,,,,,,,,,,,,,,,,,,,"VARIABLE CAPTURES TEENS IN HH ELIGIBLE FOR SURVEY; VARIABLE CAPTURES TEENS IN HH ELIGIBLE
FOR SURVEY; VARIABLE CAPTURES TEENS IN HH ELIGIBLE

FOR SURVEY;",
ARINFO2,SOURCE OF ADULT INFORMATION (ADULT RESPONDENT OR SKA ADULT),,,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
INTVLANG,LANGUAGE OF INTERVIEW,INTVLNGT_P1,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,,N/A,,,,,,,,,,,,,,,,
PHONE_TYPE,TYPE OF PHONE AVAILABLE IN RESPONDENT HOUSEHOLD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
FPG,FEDERAL POVERTY GUIDELINE: ACA MAGI ELIGIBILITY (CATEGORICAL),,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
ADLTHH,# OF ALL ADULT AGE 18+ IN HOUSEHOLD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,N/A,N/A,N/A,N/A,,
CHLDHH,# OF ALL CHILDREN AGE 0-11 IN HOUSEHOLD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,N/A,,
TEENHH,# OF ALL ADOLESCENTS AGE 12-17 IN HOUSEHOLD,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,N/A,,
ARINFO,SOURCE OF ADULT INFORMATION (AR OR MKA),,RACEHP2A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,,
PERSNUM,INTERVIEW SUBJECT PERSON NUMBER,,MKAAR,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,
TYPEINT,TYPE OF INTERVIEW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,N/A,,
AGESEX,AGE OF FIRST SEXUAL INTERCOURSE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
SECTION A,"DEMOGRAPHICS, PART I",,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRAGE,SELF-REPORTED AGE,SRAGE_P,,X,,X,X,,,,,,,,,,,,,,,,,,,,,IMPUTED VERSION OF TEENAGE; SEE ISRAGE FOR IMPUTATION FLAG,
SRSEX,SELF-REPORTED GENDER,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,IMPUTED VERSION OF TA3; SEE ISRSEX FOR IMPUTATION FLAG,
TA20V2,SEX ASSIGNED ON ORIGINAL BIRTH CERTIFICATE,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"PREVIOUS VERSION: TA20. NEW CATEGORIES ADDED IN 2023. ADDITION OF DISPLAYED RESPONSE CATEGORY FOR ""DON'T KNOW"" IN 2023, WHICH DIFFERS FROM -8 VALUE USED ACROSS ALL VARIABLES FOR NON-VALID RESPONSE.",
TA21V3,CURRENT GENDER IDENTITY,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"PREVIOUS VERSIONS: TA21 & TA21V2. NEW CATEGORIES ADDED IN 2023. ADDITION OF DISPLAYED RESPONSE CATEGORY FOR ""DON'T KNOW"" IN 2023, WHICH DIFFERS FROM -8 VALUE USED ACROSS ALL VARIABLES FOR NON-VALID RESPONSE.",
TRANSGEND2,CURRENT SELF REPORTED GENDER AND SEX AT BIRTH: 2-LEVELS,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA24,SEXUAL ORIENTATION,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"ADDITION OF DISPLAYED RESPONSE CATEGORY FOR ""DON'T KNOW"" IN 2023, WHICH DIFFERS FROM -8 VALUE USED ACROSS ALL VARIABLES FOR NON-VALID RESPONSE.",
TA1AMON,TEEN DATE OF BIRTH MONTH,,,,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA1AYR,TEEN DATE OF BIRTH YEAR,,,X,,X,X,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
SCH_TYP,TYPE OF SCHOOL ATTENDED,SCHTYP_P1,,X,,X,X,,,,,,,,,,,,,,,,,,,N/A,N/A,,
TA4,ATTENDED SCHOOL LAST WEEK,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,NOT TRENDABLE WITH CHIS 2001/2003 TA4,
TA4C,ATTENDED SCHOOL DURING LAST SCHOOL YR,TA4C_P1,,X,,X,X,,,,,,,,,,,,,,,,,,,N/A,N/A,,
TADATE_MM,DATE TEEN SECTION A DONE (YYYYMM),TADATEMM_P1,,X,,X,X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
INTV_MODE2,INTERVIEW MODE (PHONE OR WEB),,,,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA20,SEX ASSIGNED ON ORIGINAL BIRTH CERTIFICATE,,,N/A,,X,X,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA21V2,CURRENT GENDER IDENTITY,,,N/A,,X,X,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,PREVIOUS VERSION: TA21. NEW CATEGORY ADDED IN 2021.,
TA22,CURRENT GENDER IDENTITY (SPECIFY),,,N/A,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA21,CURRENT GENDER IDENTITY,,,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TA3,TEEN GENDER,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,
TA6,# TIMES CHANGED SCHOOLS IN PAST 3 YEARS,TA6_P; TA6_P1; TA6_P1V2,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_1,REASON CHANGED SCHOOLS: MOVED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_2,REASON CHANGED SCHOOLS: SCHOOL CLOSED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_3,REASON CHANGED SCHOOLS: DISLIKED OLD SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_4,REASON CHANGED SCHOOLS: EXPELLED/TROUBLE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_5,REASON CHANGED SCHOOLS: PRBLMS W/TEACHER,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_6,REASON CHANGED SCHOOLS: OTHER,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_A,REASON CHANGED SCHOOLS: FIRST MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_B,REASON CHANGED SCHOOLS: SECOND MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_C,REASON CHANGED SCHOOLS: THIRD MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_D,REASON CHANGED SCHOOLS: FOURTH MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_E,REASON CHANGED SCHOOLS: FIFTH MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
TA7_F,REASON CHANGED SCHOOLS: SIXTH MENTION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,,
SCH_DIS,SCHOOL NAME MATCHING DISPOSITION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,N/A,N/A,N/A,,
TADATE,DATE TEEN SECTION A DONE,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,
SCH_GEO,SCHOOL NAME MATCHING DISPOSITION,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,,
TA5,WORKED FOR PAY IN PAST 12 MOS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,
TA5A,# OF HRS SPENT WORKING FOR PAY IN TYPICAL WEEK DURING SCHOOL,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,"EXCLUDED VALUE ""95"" IN CALCULATING THE MEAN",
TA4A,VOLUNTEERED HE/SHE IS HOMESCHOOLED,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,,
TA5B,HOURS WORKING PER WEEK DURING SUMMER BREAK,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
SECTION B,HEALTH STATUS & HEALTH CONDITIONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGHTI,HEIGHT - INCHES,HGHTI_P,,,,,,,,,,,,,,,,,,,,,,,,,,,
HGHTM,HEIGHT - METERS,HGHTM_P,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGHTK,WEIGHT - KILOGRAMS,WGHTK_P,,,,,,,,,,,,,,,,,,,,,,,,,,,
WGHTP,WEIGHT - POUNDS,WGHTP_P,,,,,,,,,,,,,,,,,,,,,,,,,,,
OVRWT2V2,OVERWEIGHT OR OBESE (CDC 2022 - EXTENDED BMI GROWTH CHART),,,x,N/A,x,x,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CV CREATED IN CHIS 2023. UPDATED VERSION OF OVRWT2, USING THE NEW CDC BMI GUIDELINES FROM 2022. USE CAUTION WHEN TRENDING WITH PREVIOUS VERSION USING OLD 2010 RECOMMENDATIONS (OVRWT2). SEE: HTTPS://WWW.CDC.GOV/NCCDPHP/DNPAO/GROWTHCHARTS/RESOURCES/SAS.HTM",
RBMIV2,AGE AND GENDER SPECIFIC BMI (5 LEVEL CDC 2022 - EXTENDED BMI GROWTH CHART),,,x,N/A,x,x,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CV CREATED IN CHIS 2023. UPDATED VERSION OF RBMI, USING THE NEW CDC BMI GUIDELINES FROM 2022. FIFTH CATEGORY ALSO ADDED. USE CAUTION WHEN TRENDING WITH PREVIOUS VERSIONS USING OLD 2010 RECOMMENDATIONS (RBMI). SEE: HTTPS://WWW.CDC.GOV/NCCDPHP/DNPAO/GROWTHC",
BMI,BODY MASS INDEX,,,x,,x,x,,,,,,,,,,,,,,,,,,,,,,
BMITNV2,AGE AND GENDER SPECIFIC BMI PERCENTILE - CONTINUOUS (CDC 2022 - EXTENDED BMI GROWTH CHART),,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"CV CREATED IN CHIS 2023. UPDATED VERSION OF BMITN, USING THE NEW CDC BMI GUIDELINES FROM 2022 GROWTH CHART. USE CAUTION WHEN TRENDING WITH PREVIOUS VERSIONS USING OLD RECOMMENDATIONS (BMITN). SEE: HTTPS://WWW.CDC.GOV/NCCDPHP/DNPAO/GROWTHCHARTS/RESOURCES/S",
TB1,GENERAL HEALTH CONDITION,TB1_P1,,X,,X,X,,,,,,,,,,,,,,,,,,,,,,
TB4,# OF DAYS OF SCHOOL MISSED FOR HEALTH PROBLEM PAST MO,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,NOT TRENDABLE WITH PREVIOUS CHIS CYCLES; NOT TRENDABLE WITH PREVIOUS CHIS CYCLES; TOP CODE: 20,
TB5,DOCTOR EVER TOLD HAS ASTHMA,,ASTCUR,X,,X,X,,,,,,,,,,,,,,,,,,,,,,
TB17,STILL HAS ASTHMA,,ASTCUR,X,,X,X,,,,,,,,,,,,,,,,,,,,N/A,,
TB18,ASTHMA EPISODE/ATTACK IN PAST 12 MOS,,ASTCUR,X,,X,X,,,,,,,,,,,,,,,,,,,,N/A,,
TB19,ER/URGENT CARE VISIT FOR ASTHMA IN PAST YEAR,,ER,X,,X,X,,,,N/A,,N/A,,,,,,,,,,,,,,N/A,,
TB20,HEALTH PROFESSIONAL EVER GAVE ASTHMA MANAGEMENT PLAN,,,X,,X,X,,,,,,,,,,,,,,,,,,,,N/A,,
TB24,# OF SCHOOL DAYS MISSED DUE TO ASTHMA IN PAST 12 MOS,TB24_P,,X,,X,X,,,,,,,,,,,,,,,,,,,N/A,N/A,"EXCLUDED VALUE ""996"" FOR DID NOT GO TO SCHOOL IN PAST YEAR IN CALCULATING THE MEAN (1 CASE IN 2023); EXCLUDED VALUE ""996"" FOR DID NOT GO TO SCHOOL IN PAST YEAR IN CALCULATING THE MEAN (2 CASES IN 2022); EXCLUDED VALUE ""996"" FOR DID NOT GO TO SCHOOL IN PAST YEAR IN CALCULATING THE MEAN (9 CASES IN 2021); EXCLUDED VALUE ""996"" FOR DID NOT GO TO SCHOOL IN PAST YEAR IN CALCULATING THE MEAN; EXCLUDED VALUE ""996"" FOR DID NOT GO TO SCHOOL IN PAST YEAR IN CALCULATING THE MEAN (1 CASE IN 2020); EXCLUDED VALUE ""996"" IN CALCULATING THE MEAN",
TB27,FREQUENCY OF ASTHMA SYMPTOMS IN PAST 12 MOS,TB27_P,ASTS,X,,X,X,,,,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,RECLAIMED FROM CHIS 2017,
ASTS,ASTHMA SYMPTOMS PAST 12 MOS FOR POPULATION W/ DIAGNOSED ASTHMA,,,X,,X,X,,,,N/A,N/A,N/A,,,,,,,,,,,,,N/A,N/A,,
TB28,ER/URGENT CARE VISIT FOR ASTHMA IN PAST,,ER,X,,X,X,,,,N/A,,N/A,,,,,,,,,,,,,N/A,N/A,,
TB29,HOSPITAL OVERNIGHT FOR ASTHMA PAST 12 MO,,,X,,X,X,,,,N/A,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,,
ASTCUR,CURRENT ASTHMA,,,X,,X,X,,,,,,,,,,,,,,,,,,,N/A,N/A,,
TF4A,HOSPITAL OVERNIGHT FOR ASTHMA PAST 12 MO,,,X,,X,X,,,,N/A,N/A,N/A,,,,,,,,,,,,N/A,N/A,N/A,,
TB31,VISIT ER FOR ASTHMA - UNABLE TO SEE DR,,,X,,X,X,,,,N/A,,N/A,,,,,,,,,,,N/A,N/A,N/A,N/A,,
TB6,CURRENTLY TAKE DAILY PRESCRIPTION MEDICATION TO CONTROL ASTHMA,,,X,,X,X,,,,,,,,,,,,,,,,,,,,,NOT TRENDABLE WITH CHIS 2001 TB6,
TB34,VISIT ER FOR ASTHMA - UNABLE TO SEE DR,,,X,,X,X,,,,N/A,,N/A,,,,,,,,,,,N/A,N/A,N/A,N/A,,
TB32,HAVE WRITTEN COPY OF ASTHMA PLAN,,,X,,X,X,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,,
TB33,CONFIDENT CAN MANAGE ASTHMA,,,X,,X,X,,,,N/A,N/A,N/A,,,,,,,,,,,N/A,N/A,N/A,N/A,,
OVRWT2,OVERWEIGHT OR OBESE (CDC 2010 RECOMMENDATIONS),,,N/A,,,,,,,,,,,,,,,,,,,N/A,N/A,N/A,N/A,N/A,"NOT TO BE TRENDED WITH OVRWT FOUND IN CHIS 2009 AND PRIOR CYCLES. BASED ON CDC 2010 RECOMMENDATIONS; NOT TO BE TRENDED WITH OVRWT FOUND IN
CHIS 2009 AND PRIOR CYCLES. BASED ON CDC
2010 RECOMMENDATIONS; NOT TO BE TRENDED WITH OVRWT FOUND IN

CHIS 2009 AND PRIOR CYCLES. BASED ON CDC

2010 RECOMMENDATIONS",
RBMI,AGE AND GENDER SPECIFIC BMI (4 LEVELS),,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A,NOT TO BE TRENDED WITH RBMI FOUND IN CHIS 2009 AND PRIOR CYCLES. BASED ON CDC 2010 RECOMMENDATIONS; NOTE NEW CDC 2010 RECOMMENDATIONS ASSIGNING 'OVERWEIGHT' FOR TEENS. CAUTION TRENDING WITH PREVIOUS CYCLES.,
BMITN,AGE AND GENDER SPECIFIC BMI PERCENTILE (CONTINUOUS),,,N/A,,,,,,,,,,,,,,,,,,,,,,,N/A,,
TB52,DOCTOR EVER TOLD HAVE DIABETES,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TB53,AGE FIRST TOLD HAVE DIABETES,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TB54,TYPE 1 OR TYPE 2 DIABETES,,,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
SLPH,HOURS SLEPT ON WEEKNIGHTS,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,
TB2F,HEIGHT: FEET,,HGHTI; HGHTM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,,,,,,
TB2I,HEIGHT: INCHES,,HGHTI; HGHTM,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,N/A,,,,,,
